iter	Logloss
0	0.6538345157
1	0.6144023466
2	0.5791990704
3	0.5542860238
4	0.5282428849
5	0.5065681695
6	0.4879475263
7	0.4707460641
8	0.4566860846
9	0.4424244223
10	0.4309471106
11	0.4186599164
12	0.408791068
13	0.4004020255
14	0.3929746408
15	0.384680671
16	0.3778595804
17	0.3714193397
18	0.3662425036
19	0.3611563437
20	0.356959652
21	0.3507255447
22	0.3476640675
23	0.3450044585
24	0.341975119
25	0.3394162774
26	0.3362850413
27	0.3333921704
28	0.3294671446
29	0.3267655839
30	0.3245003268
31	0.3226525609
32	0.3212179045
33	0.31895914
34	0.3166698094
35	0.3137669133
36	0.3123499411
37	0.3104561423
38	0.3087686312
39	0.3068229324
40	0.3050690625
41	0.3039173503
42	0.3024236998
43	0.3009702119
44	0.3000662045
45	0.2991837004
46	0.2982668818
47	0.2964230929
48	0.2952135967
49	0.2945630874
50	0.2935282614
51	0.2922995115
52	0.2913919996
53	0.2906026113
54	0.2898667364
55	0.2891247341
56	0.2885275805
57	0.2872248068
58	0.2865352301
59	0.2860198591
60	0.2845330845
61	0.283542403
62	0.2831272627
63	0.2823566771
64	0.2816754039
65	0.2811821851
66	0.2805336007
67	0.2801336138
68	0.2788852135
69	0.2782932352
70	0.2769116759
71	0.2766235013
72	0.2763183353
73	0.2759772315
74	0.2756388416
75	0.2753538078
76	0.2748071263
77	0.2743361728
78	0.2737146482
79	0.2729618294
80	0.2726126812
81	0.2721388024
82	0.2716625488
83	0.271251768
84	0.2708530033
85	0.2701451707
86	0.2691604033
87	0.2687506012
88	0.268437772
89	0.2679876569
90	0.267654624
91	0.2667733394
92	0.2665713179
93	0.2662410777
94	0.2659348491
95	0.2651070902
96	0.2641492347
97	0.2631612402
98	0.2628656241
99	0.2623235976
100	0.2617113374
101	0.261476197
102	0.2612404563
103	0.2609392687
104	0.2607564797
105	0.2604609856
106	0.2596450655
107	0.2588650679
108	0.2585875021
109	0.258334499
110	0.2579971282
111	0.2578209409
112	0.2575860439
113	0.2572632423
114	0.2566487213
115	0.2563386001
116	0.2557445717
117	0.2556340427
118	0.2554126883
119	0.2551099591
120	0.2549648806
121	0.2547299713
122	0.2544573559
123	0.2541125532
124	0.2538648559
125	0.2535665253
126	0.253117293
127	0.2530378727
128	0.2529293765
129	0.2526087955
130	0.2523347539
131	0.2520721206
132	0.2518830131
133	0.251505852
134	0.251294656
135	0.2508689385
136	0.2505869989
137	0.250317831
138	0.2501113639
139	0.2499603467
140	0.2497832992
141	0.2495558007
142	0.2493985636
143	0.2488477587
144	0.2486253196
145	0.2479567853
146	0.2478565859
147	0.2477677837
148	0.2476195625
149	0.2473912146
150	0.2470158426
151	0.2467867062
152	0.246558331
153	0.2462571612
154	0.2461635517
155	0.2458452073
156	0.2455555201
157	0.2454482586
158	0.2452902092
159	0.2450087936
160	0.2448880218
161	0.24431471
162	0.2440897423
163	0.2438719595
164	0.2434778483
165	0.2429464358
166	0.2427338438
167	0.2425700622
168	0.2424088944
169	0.241861971
170	0.241686131
171	0.2414979762
172	0.2412845513
173	0.2411283701
174	0.2407776272
175	0.2402636361
176	0.2400759023
177	0.2398670363
178	0.2396934712
179	0.2393216161
180	0.239159963
181	0.2387878557
182	0.2387083415
183	0.2382771986
184	0.2381117711
185	0.2378169435
186	0.2375919182
187	0.2372912083
