iter	Passed	Remaining
0	37	18834
1	64	16049
2	82	13675
3	100	12441
4	115	11482
5	132	10922
6	149	10524
7	166	10248
8	183	10026
9	201	9853
10	219	9754
11	236	9614
12	253	9492
13	270	9385
14	287	9303
15	305	9248
16	323	9183
17	339	9085
18	357	9054
19	375	9002
20	390	8915
21	409	8887
22	425	8828
23	442	8772
24	459	8727
25	476	8692
26	492	8633
27	510	8602
28	525	8541
29	543	8510
30	560	8472
31	576	8436
32	594	8417
33	610	8369
34	628	8350
35	646	8331
36	664	8312
37	681	8288
38	698	8260
39	717	8251
40	734	8227
41	751	8199
42	768	8171
43	786	8147
44	803	8121
45	822	8113
46	839	8087
47	857	8073
48	873	8041
49	890	8015
50	907	7992
51	924	7968
52	942	7949
53	960	7934
54	979	7922
55	997	7906
56	1015	7891
57	1032	7871
58	1050	7850
59	1068	7836
60	1086	7820
61	1104	7804
62	1122	7785
63	1141	7774
64	1159	7757
65	1177	7744
66	1194	7722
67	1212	7706
68	1231	7691
69	1248	7668
70	1265	7648
71	1283	7631
72	1301	7612
73	1319	7597
74	1337	7579
75	1354	7556
76	1372	7540
77	1390	7523
78	1408	7507
79	1426	7490
80	1445	7477
81	1463	7459
82	1480	7438
83	1498	7420
84	1516	7402
85	1534	7385
86	1552	7371
87	1571	7355
88	1588	7336
89	1604	7310
90	1622	7291
91	1640	7276
92	1658	7259
93	1676	7242
94	1693	7220
95	1710	7199
96	1726	7173
97	1744	7155
98	1761	7135
99	1776	7106
100	1792	7080
101	1809	7062
102	1827	7044
103	1845	7025
104	1862	7005
105	1880	6987
106	1896	6964
107	1914	6949
108	1932	6930
109	1952	6923
110	1971	6910
111	1990	6893
112	2004	6866
113	2023	6849
114	2040	6831
115	2057	6811
116	2073	6789
117	2092	6775
118	2110	6758
119	2126	6735
120	2143	6714
121	2162	6699
122	2180	6681
123	2195	6658
124	2210	6630
125	2226	6608
126	2243	6587
127	2259	6568
128	2275	6545
129	2292	6525
130	2310	6507
131	2327	6490
132	2346	6473
133	2363	6454
134	2379	6432
135	2397	6417
136	2414	6398
137	2433	6382
138	2451	6366
139	2470	6353
140	2486	6331
141	2503	6310
142	2520	6292
143	2537	6272
144	2553	6252
145	2571	6235
146	2589	6219
147	2606	6200
148	2624	6183
149	2641	6164
150	2660	6149
151	2677	6131
152	2694	6111
153	2712	6093
154	2726	6068
155	2743	6048
156	2759	6028
157	2773	6004
158	2791	5987
159	2808	5968
160	2825	5949
161	2843	5933
162	2860	5914
163	2877	5896
164	2896	5879
165	2913	5862
166	2928	5839
167	2944	5818
168	2959	5796
169	2975	5776
170	2993	5759
171	3012	5744
172	3028	5725
173	3047	5709
174	3064	5690
175	3078	5667
176	3095	5649
177	3113	5631
178	3129	5612
179	3147	5595
180	3160	5570
181	3176	5550
182	3194	5533
183	3210	5513
184	3228	5497
185	3243	5476
186	3262	5460
187	3279	5442
188	3295	5423
189	3314	5407
190	3332	5391
191	3350	5375
192	3366	5354
193	3382	5335
194	3400	5319
195	3417	5300
196	3436	5284
197	3454	5269
198	3472	5252
199	3487	5231
200	3506	5216
201	3524	5199
202	3542	5183
203	3558	5163
204	3576	5146
205	3594	5129
206	3611	5112
207	3629	5095
208	3646	5076
209	3662	5057
210	3679	5039
211	3694	5019
212	3709	4998
213	3728	4982
214	3746	4966
215	3764	4949
216	3781	4931
217	3799	4914
218	3816	4896
219	3835	4881
220	3853	4864
221	3870	4846
222	3887	4828
223	3903	4809
224	3920	4792
225	3939	4776
226	3956	4758
227	3974	4741
228	3991	4723
229	4008	4706
230	4026	4689
231	4045	4672
232	4062	4655
233	4078	4636
234	4093	4616
235	4113	4601
236	4131	4585
237	4148	4566
238	4167	4551
239	4184	4532
240	4199	4513
241	4217	4496
242	4236	4480
243	4254	4463
244	4272	4447
245	4289	4429
246	4308	4412
247	4326	4396
248	4345	4379
249	4363	4363
250	4380	4345
251	4397	4327
252	4414	4310
253	4432	4292
254	4449	4275
255	4468	4259
256	4486	4242
257	4503	4224
258	4520	4206
259	4538	4189
260	4557	4173
261	4573	4154
262	4591	4137
263	4607	4119
264	4626	4102
265	4643	4084
266	4661	4067
267	4679	4050
268	4695	4032
269	4713	4015
270	4731	3997
271	4749	3981
272	4765	3962
273	4782	3944
274	4797	3925
275	4815	3908
276	4833	3891
277	4849	3872
278	4866	3855
279	4884	3837
280	4902	3820
281	4919	3803
282	4937	3786
283	4954	3768
284	4972	3751
285	4987	3731
286	5005	3714
287	5022	3697
288	5040	3680
289	5058	3663
290	5073	3644
291	5089	3625
292	5107	3608
293	5122	3589
294	5140	3572
295	5158	3554
296	5173	3536
297	5190	3518
